ID	other_names	genome_data	library_prep	geographical_origin	ecological_origin	substrate	ecology_category	monosporic_derivative	ploidyFACS	ploidyBAF	aneuploidy_BAF	aneuploidy_RD	aneuploidy_binary	aneuploidy_type	RD_aneuploidy	Contaminated	Chr_end_bias	High_var	basename	avg_cov	population_old	pop_summary	population_new	heterozygosity	reference
RNKp	NA	PRJNA504476	NA	Nkanka_West_Rwanda_-_Rwanda	Green_coffee_beans	NA	Coffee	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Med/oak	Med/oak	TBD	NA	Fay_et_al_2018
SD1	NA	PRJNA504476	HiSeq2500	Shandong_China	Persimon	NA	Fruit	No	NA	Unknown	No	No	No	No	No	0.03	No	No	SD1	62	Africa	Africa	TBD	0.000304927	Fay_et_al_2018
SX6	NA	PRJNA504476	HiSeq2500	Shaanxi_China	Bark_of_Quercus_fabri	NA	Tree	No	NA	Unknown	No	No	No	No	No	0.03	Yes	No	SX6	66	China	China	TBD	0.000289993	Fay_et_al_2018
W.WLP045	NA	PRJNA504476	NextSeq	NA	Commercial_Whiskey	NA	Commercial	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	W.WLP045	7	Beer/baking	Beer/baking	TBD	0.001999785	Fay_et_al_2018
W.WLP070	NA	PRJNA504476	NextSeq	NA	Commercial_Whiskey	NA	Commercial	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	W.WLP070	6	Lager	Lager	TBD	0	Fay_et_al_2018
Y-12638_CBS_2888	NA	PRJNA504476	NA	South_Africa	Soil	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Japan_1	Japan_1	TBD	NA	Fay_et_al_2018
Y-2189_UCD-FST_50-55	NA	PRJNA504476	NA	San_Jacinto_CA_USA	D._pseudoobscura	NA	Insect	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Beer/baking	Beer/baking	TBD	NA	Fay_et_al_2018
YE_1-1	NA	PRJNA504476	HiSeq2500	Ismaili_District_Yemen	Green_coffee_beans	NA	Coffee	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Beer/baking	Beer/baking	TBD	NA	Fay_et_al_2018
YJF153	NA	PRJNA504476	HiSeq2000	PA_USA	Oak	NA	Tree	No	NA	Unknown	No	No	No	No	No	0.03	No	No	YJF153	70	Japan_2	Japan_2	TBD	0.00034141	Fay_et_al_2018
YMD1834	NA	PRJNA504476	HiSeq2000	Belgium	Commercial_Ale	NA	Commercial	No	NA	2	+1@14	+1@14	Yes	Gain	Yes	No	No	No	YMD1834	116	Europe/wine	Europe/wine	TBD	0.001812799	Fay_et_al_2018
YMD1864	NA	PRJNA504476	HiSeq2000	England	Commercial_Ale	NA	Commercial	No	NA	4	+1@9	+1@9	Yes	Gain	Yes	No	No	No	YMD1864	151	Ale_1	Ale_1	TBD	0.003476357	Fay_et_al_2018
YMD1865	NA	PRJNA504476	HiSeq2000	England	Commercial_Ale	NA	Commercial	No	NA	4	-1@6;+1@13	-1@6;+1@13	Yes	Both	Yes	No	No	No	YMD1865	159	Ale_1	Ale_1	TBD	0.004142165	Fay_et_al_2018
YMD1866	NA	PRJNA504476	HiSeq2000	Scotland	Commercial_Ale	NA	Commercial	No	NA	4	"-1@8,10,15;+1@1,2"	"-1@8,10,15;+1@1,2"	Yes	Both	Yes	No	No	No	YMD1866	126	Ale_1	Ale_1	TBD	0.004063032	Fay_et_al_2018
YMD1867	NA	PRJNA504476	HiSeq2000	American	Commercial_Ale	NA	Commercial	No	NA	4	"+1@2,3,4,6,9,12"	"+1@2,3,4,6,9,12"	Yes	Gain	Yes	No	No	Yes	YMD1867	133	Ale_1	Ale_1	TBD	0.003676243	Fay_et_al_2018
YMD1868	NA	PRJNA504476	HiSeq2000	American	Commercial_Ale	NA	Commercial	No	NA	4	"-1@1,2,5"	"-1@1,2,5"	Yes	Loss	Yes	No	No	Yes	YMD1868	136	Ale_1	Ale_1	TBD	0.0031245	Fay_et_al_2018
YMD1869	NA	PRJNA504476	HiSeq2000	Britain	Commercial_Ale	NA	Commercial	No	NA	3	No	No	No	No	No	No	No	Yes	YMD1869	63	Ale_1	Ale_1	TBD	0.003352253	Fay_et_al_2018
YMD1870	NA	PRJNA504476	HiSeq2000	Britain	Commercial_Ale	NA	Commercial	No	NA	4	-1@1	-1@1	Yes	Loss	Yes	No	No	Yes	YMD1870	142	Ale_1	Ale_1	TBD	0.004160585	Fay_et_al_2018
YMD1871	NA	PRJNA504476	HiSeq2000	Germany	Commercial_Ale	NA	Commercial	No	NA	4	No	No	No	No	No	No	No	No	YMD1871	117	Ale_2	Ale_2	TBD	0.003492937	Fay_et_al_2018
YMD1872	NA	PRJNA504476	HiSeq2000	England	Commercial_Ale	NA	Commercial	No	NA	4	-1@1;+1@13	-1@1;+1@13	Yes	Both	Yes	No	No	No	YMD1872	155	Ale_1	Ale_1	TBD	0.004177547	Fay_et_al_2018
YMD1873	NA	PRJNA504476	HiSeq2000	Germany	Commercial_Wheat	NA	Commercial	No	NA	4	-1@10	-1@10	Yes	Loss	Yes	No	No	No	YMD1873	151	Ale_1	Ale_1	TBD	0.003034008	Fay_et_al_2018
YMD1874	NA	PRJNA504476	HiSeq2000	NA	Commercial_Lager	NA	Commercial	No	NA	Unknown	No	-1@3;-2@6;+1@2;+2@13	Yes	Both	Yes	0.1	No	No	YMD1874	97	Lager	Lager	TBD	0.017357206	Fay_et_al_2018
YMD1875	NA	PRJNA504476	HiSeq2000	Belgium	Commercial_Ale	NA	Commercial	No	NA	4	-1@6;+1@9	-1@6;+1@9	Yes	Both	Yes	No	No	Yes	YMD1875	91	Ale_2	Ale_2	TBD	0.003087568	Fay_et_al_2018
YMD1950	NA	PRJNA504476	HiSeq2000	Belgium	Commercial_Wheat	NA	Commercial	No	NA	4	-1@1	-1@1	Yes	Loss	Yes	No	No	No	YMD1950	119	Ale_2	Ale_2	TBD	0.003401981	Fay_et_al_2018
YMD1952	NA	PRJNA504476	HiSeq2000	Germany	Commercial_Ale	NA	Commercial	No	NA	4	No	No	No	No	No	No	No	No	YMD1952	118	Ale_2	Ale_2	TBD	0.00336673	Fay_et_al_2018
YMD1981	NA	PRJNA504476	NextSeq	England	Commercial_Ale	NA	Commercial	No	NA	4	"-1@5,10,12,14;+1@2"	"-1@5,10,12,14;+1@2"	Yes	Both	Yes	No	No	No	YMD1981	130	Ale_1	Ale_1	TBD	0.004068074	Fay_et_al_2018
YO1047	NA	PRJNA504476	NextSeq	South_Africa	Soil	NA	NA	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	Yes	YO1047	0	NA	NA	TBD	0.000209788	Fay_et_al_2018
YO1112	NA	PRJNA504476	NextSeq	Honduras	Green_coffee_beans	NA	Coffee	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	Yes	YO1112	0	NA	NA	TBD	0.000135881	Fay_et_al_2018
YO1114	NA	PRJNA504476	NextSeq	Mexico	Green_coffee_beans	NA	Coffee	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	Yes	YO1114	0	NA	NA	TBD	0.0003545	Fay_et_al_2018
YO1128	NA	PRJNA504476	NextSeq	Ismaili_District_-_Yemen	Green_coffee_beans	NA	Coffee	No	NA	Unknown	No	No	No	No	No	0.05	No	No	YO1128	48	NA	NA	TBD	0.004076106	Fay_et_al_2018
YO1133	NA	PRJNA504476	NextSeq	Yirgacheffe_-_Ethiopia	Green_coffee_beans	NA	Coffee	No	NA	3	"-1@1,3"	"-1@1,3"	Yes	Loss	Yes	No	No	Yes	YO1133	296	NA	NA	TBD	0.004284898	Fay_et_al_2018
YO1164	NA	PRJNA504476	NextSeq	San_Jacinto_CA_-_United_States	D._pseudoobscura	NA	Insect	No	NA	3	"+1@3,4,9,11;+2@1"	"+1@3,4,9,11;+2@1"	Yes	Gain	Yes	No	No	Yes	YO1164	226	NA	NA	TBD	0.005126502	Fay_et_al_2018
YO1201	NA	PRJNA504476	NextSeq	Java_-_Indonesia	Green_coffee_beans	NA	Coffee	No	NA	3	"-1@4,10,12"	"-1@4,10,12"	Yes	Loss	Yes	No	No	No	YO1201	254	NA	NA	TBD	0.004009518	Fay_et_al_2018
YO1225	NA	PRJNA504476	NextSeq	Nueva_Segovia_-_Nicaragua	Green_coffee_beans	NA	Coffee	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO1225	0	NA	NA	TBD	0.004417333	Fay_et_al_2018
YO1348	NA	PRJNA504476	NextSeq	Huehuetenango_-_Guatemala	Green_coffee_beans	NA	Coffee	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO1348	0	NA	NA	TBD	0.00016817	Fay_et_al_2018
YO1480	NA	PRJNA504476	NextSeq	Nkanka_West_Rwanda_-_Rwanda	Green_coffee_beans	NA	Coffee	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	YO1480	nan	NA	NA	TBD	NA	Fay_et_al_2018
YO1487	NA	PRJNA504476	NextSeq	Nyeri_District_-_Kenya	Green_coffee_beans	NA	Coffee	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	YO1487	0	NA	NA	TBD	0.006279051	Fay_et_al_2018
YO1599	NA	PRJNA504476	NextSeq	Santa_Barbara_-_Colombia	Green_coffee_beans	NA	Coffee	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	YO1599	0	NA	NA	TBD	NA	Fay_et_al_2018
YO1600	NA	PRJNA504476	NextSeq	San_Ignacio_Cajamarca_-_Peru	Green_coffee_beans	NA	Coffee	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	YO1600	nan	NA	NA	TBD	NA	Fay_et_al_2018
YO317	NA	PRJNA504476	NextSeq	Philippines	Coconut	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	Yes	YO317	14	Africa	Africa	TBD	0.000167833	Fay_et_al_2018
YO367	NA	PRJNA504476	NextSeq	Evolution_Canyon_Israel	South_facing_shady_spot_Station_2	NA	NA	No	NA	4	-1@5;+1@8	-1@5;+1@8	Yes	Both	Yes	No	Yes	No	YO367	270	Beer/baking	Beer/baking	TBD	0.005253197	Fay_et_al_2018
YO374	NA	PRJNA504476	NextSeq	Evolution_Canyon_Israel	Shady_spot_Station_6	NA	NA	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO374	0	Clinical	Clinical	TBD	0.001766301	Fay_et_al_2018
YO376	NA	PRJNA504476	NextSeq	Evolution_Canyon_Israel	Sunny_spot	NA	NA	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO376	0	Europe/wine	Europe/wine	TBD	0.000193529	Fay_et_al_2018
YO397	NA	PRJNA504476	NextSeq	California_USA	Beetle_from_infested_Prunus_Bokhariensis	NA	Insect	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO397	0	Europe/wine	Europe/wine	TBD	0.000162467	Fay_et_al_2018
YO416	NA	PRJNA504476	NextSeq	Ghana	Cacao_fermentation	NA	SSF	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO416	24	Europe/wine	Europe/wine	TBD	0.001725409	Fay_et_al_2018
YO419	NA	PRJNA504476	NextSeq	Ghana	Cacao_fermentation	NA	SSF	No	NA	2	No	No	No	No	No	0.1	No	No	YO419	32	Europe/wine	Europe/wine	TBD	0.00118301	Fay_et_al_2018
YO465	NA	PRJNA504476	NextSeq	Gothenburg_Sweden	Fish_gut	NA	Fish	No	NA	4	+1@7	+1@7	Yes	Gain	Yes	No	No	No	YO465	246	Beer/baking	Beer/baking	TBD	0.004856574	Fay_et_al_2018
YO466	NA	PRJNA504476	NextSeq	Tanzania	Togwa	NA	Fermentation	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO466	2	Med/oak	Med/oak	TBD	0.002933541	Fay_et_al_2018
YO468	NA	PRJNA504476	NextSeq	Tanzania	Togwa	NA	Fermentation	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO468	0	Asia/sake	Asia/sake	TBD	0.004394255	Fay_et_al_2018
YO645	NA	PRJNA504476	NextSeq	Costa_Rica	Banana	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO645	0	Clinical	Clinical	TBD	0.004065526	Fay_et_al_2018
YO647	NA	PRJNA504476	NextSeq	Nepal	Murcha_yeast_cake	NA	NA	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO647	0	Asia/sake	Asia/sake	TBD	0.000880362	Fay_et_al_2018
YO648	NA	PRJNA504476	NextSeq	Malaysia	Tapioca	NA	SSF	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO648	0	Asia/sake	Asia/sake	TBD	0.000249992	Fay_et_al_2018
YO649	NA	PRJNA504476	NextSeq	China	Fermented_food	NA	SSF	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO649	0	Asia/sake	Asia/sake	TBD	0.00017221	Fay_et_al_2018
YO670	NA	PRJNA504476	NextSeq	United_States	Wheat_starch	NA	SSF	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO670	0	Asia/sake	Asia/sake	TBD	0.00446194	Fay_et_al_2018
YO672	NA	PRJNA504476	NextSeq	India	Jalebi_Indian_fried_(sweet)_snack	NA	NA	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO672	0	Asia/sake	Asia/sake	TBD	0.001870789	Fay_et_al_2018
YO700	NA	PRJNA504476	NextSeq	Pakistan	Baker	NA	Bread	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO700	0	Asia/sake	Asia/sake	TBD	0.001680146	Fay_et_al_2018
YO705	NA	PRJNA504476	NextSeq	Brazil	Fermented_cassava_mash	NA	SSF	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO705	0	Clinical	Clinical	TBD	0.004855234	Fay_et_al_2018
YO707	NA	PRJNA504476	NextSeq	NA	Coconut_pod	NA	NA	No	NA	3	"+1@9,11,14,15,16;+2@3"	"+1@9,11,14,15,16;+2@3"	Yes	Gain	Yes	No	No	No	YO707	238	Beer/baking	Beer/baking	TBD	0.005639255	Fay_et_al_2018
YO715	NA	PRJNA504476	NextSeq	Italy	Stracchino_cheese	NA	Dairy	No	NA	3	No	No	No	No	No	0.05	No	No	YO715	38	Europe/wine	Europe/wine	TBD	0.00247325	Fay_et_al_2018
YO721	NA	PRJNA504476	NextSeq	NA	Kefyr_(Y-393)	NA	Dairy	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO721	0	Beer/baking	Beer/baking	TBD	0.00373531	Fay_et_al_2018
YO724	NA	PRJNA504476	NextSeq	NA	Bark_from_Quercus_variabi_(Asian_Oak)	NA	Tree	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO724	7	China	China	TBD	0.000198603	Fay_et_al_2018
YO728	NA	PRJNA504476	NextSeq	Jamaica	Cane_juice	NA	Other_plants	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO728	0	Clinical	Clinical	TBD	0.003874465	Fay_et_al_2018
YO730	NA	PRJNA504476	NextSeq	NA	Wild_cherry_tree_gum	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO730	0	Med/oak	Med/oak	TBD	0.000185604	Fay_et_al_2018
YO732	NA	PRJNA504476	NextSeq	NA	Amylo_process-isolating_EtOH_from_starch	NA	Bioethanol	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO732	0	Asia/sake	Asia/sake	TBD	0.001194684	Fay_et_al_2018
YO734	NA	PRJNA504476	NextSeq	Yosemite_California_United_States	D._pseudoobscura	NA	Insect	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO734	0	Beer/baking	Beer/baking	TBD	0.004252338	Fay_et_al_2018
YO769	NA	PRJNA504476	NextSeq	San_Diego_County_California_USA	Mud_leaves	NA	NA	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO769	0	Japan_1	Japan_1	TBD	0.000235049	Fay_et_al_2018
YO770	NA	PRJNA504476	NextSeq	San_Diego_County_California_USA	Segregant_of_commercial_distillers_yeast	NA	Commercial	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO770	0	Asia/sake	Asia/sake	TBD	0.001448133	Fay_et_al_2018
YO798	NA	PRJNA504476	NextSeq	New_Orleans_LA_USA	Citrus_juice	NA	Fermentation	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO798	0	Clinical	Clinical	TBD	0.004082475	Fay_et_al_2018
YO807	NA	PRJNA504476	NextSeq	NA	Canned_peaches	NA	Fruit	No	NA	4	+1@1	+1@1	Yes	Gain	Yes	No	No	No	YO807	304	Beer/baking	Beer/baking	TBD	0.005966039	Fay_et_al_2018
YO814	NA	PRJNA504476	NextSeq	Nigeria	Unroasted_beans_cacao	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO814	17	Europe/wine	Europe/wine	TBD	0.004293287	Fay_et_al_2018
YO815	NA	PRJNA504476	NextSeq	Nigeria	Unroasted_beans_cacao	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO815	0	Africa	Africa	TBD	0.006267842	Fay_et_al_2018
YO820	NA	PRJNA504476	NextSeq	Nigeria	Unroasted_beans_cacao	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO820	0	Africa	Africa	TBD	0.000190236	Fay_et_al_2018
YO823	NA	PRJNA504476	NextSeq	Nigeria	Unroasted_beans_cacao	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO823	0	Africa	Africa	TBD	0.000584836	Fay_et_al_2018
YO840	NA	PRJNA504476	NextSeq	Costa_Rica	Unroasted_beans_cacao	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO840	0	Japan_2	Japan_2	TBD	0.00013837	Fay_et_al_2018
YO841	NA	PRJNA504476	NextSeq	Costa_Rica	Unroasted_beans_cacao	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO841	0	Asia/sake	Asia/sake	TBD	0.005531138	Fay_et_al_2018
YO849	NA	PRJNA504476	NextSeq	Peru	Unroasted_beans_cacao	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO849	0	Europe/wine	Europe/wine	TBD	0.000142749	Fay_et_al_2018
YO870	NA	PRJNA504476	NextSeq	Haiti	Unroasted_beans_cacao	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO870	0	Japan_1	Japan_1	TBD	0.003508772	Fay_et_al_2018
YO874	NA	PRJNA504476	NextSeq	Haiti	Unroasted_beans_cacao	NA	Fruit	No	NA	Unknown	No	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	LOWCOV	No	YO874	0	Europe/wine	Europe/wine	TBD	0.000289285	Fay_et_al_2018
BE001	NA	PRJNA323691	NA	Belgium	Beer	NA	Beer	No	NA	3	"+1@1,2,3,15"	"+1@1,2,3,15"	Yes	Gain	Yes	No	No	No	BE001	181	Britain	Britain	TBD	0.003668298	Gallone_et_al_2016
BE002	NA	PRJNA323691	NA	Bulgaria	Beer	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE002	109	Beer2	Beer2	TBD	0.001502003	Gallone_et_al_2016
BE003	NA	PRJNA323691	NA	Ukraine	Beer	NA	Beer	No	NA	Unknown	No	No	No	No	No	No	No	No	BE003	83	Beer2	Beer2	TBD	0.000229436	Gallone_et_al_2016
BE004	NA	PRJNA323691	NA	Belgium	Beer	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE004	127	Beer2	Beer2	TBD	0.002589426	Gallone_et_al_2016
BE005	NA	PRJNA323691	NA	Belgium	Beer_(Ale)	NA	Beer	No	NA	4	"+1@2,9"	"+1@2,9"	Yes	Gain	Yes	No	No	No	BE005	123	Mixed	Mixed	TBD	0.005500237	Gallone_et_al_2016
BE006	NA	PRJNA323691	NA	Unknown	Beer_(Ale_refermentation)	NA	Beer	No	NA	4	No	No	No	No	No	No	No	No	BE006	119	Mixed	Mixed	TBD	0.005739753	Gallone_et_al_2016
BE007	NA	PRJNA323691	NA	US	Beer_(Ale)	NA	Beer	No	NA	4	-1@14	-1@14	Yes	Loss	Yes	No	No	No	BE007	137	US	US	TBD	0.003091218	Gallone_et_al_2016
BE008	NA	PRJNA323691	NA	Germany	Beer_(Ale)	NA	Beer	No	NA	4	"-1@6,10"	"-1@6,10"	Yes	Loss	Yes	No	No	No	BE008	118	Belgium/Germany	Belgium/Germany	TBD	0.003624225	Gallone_et_al_2016
BE009	NA	PRJNA323691	NA	England	Beer_(Stout)	NA	Beer	No	NA	4	+1@4	-1@1;+1@4	Yes	Both	Yes	No	Yes	No	BE009	95	Britain	Britain	TBD	0.004104824	Gallone_et_al_2016
BE010	NA	PRJNA323691	NA	Scotland	Beer	NA	Beer	No	NA	4	No	No	No	No	No	No	No	No	BE010	92	Britain	Britain	TBD	0.004019791	Gallone_et_al_2016
BE011	NA	PRJNA323691	NA	Belgium	Beer_(Abbey)	NA	Beer	No	NA	2	+1@14	+1@14	Yes	Gain	Yes	No	No	No	BE011	91	Beer2	Beer2	TBD	0.001802779	Gallone_et_al_2016
BE012	NA	PRJNA323691	NA	England	Beer_(Bitter)	NA	Beer	No	NA	4	No	No	No	No	No	0.03	No	No	BE012	108	Belgium/Germany	Belgium/Germany	TBD	0.003480663	Gallone_et_al_2016
BE013	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE013	115	Beer2	Beer2	TBD	0.002077871	Gallone_et_al_2016
BE014	NA	PRJNA323691	NA	Belgium	Beer_(Strong_ale)	NA	Beer	No	NA	2	+1@15	+1@15	Yes	Gain	Yes	No	No	No	BE014	189	Wine	Wine	TBD	0.000931655	Gallone_et_al_2016
BE015	NA	PRJNA323691	NA	Belgium	Beer	NA	Beer	No	NA	3	"-1@6,12,13"	"-1@6,12,13"	Yes	Loss	Yes	No	Yes	No	BE015	85	Belgium/Germany	Belgium/Germany	TBD	0.002605132	Gallone_et_al_2016
BE016	NA	PRJNA323691	NA	Belgium	Beer	NA	Beer	No	NA	3	"-1@3,9"	"-1@2,3,9"	Yes	Loss	Yes	No	Yes	No	BE016	123	Belgium/Germany	Belgium/Germany	TBD	0.00314502	Gallone_et_al_2016
BE017	NA	PRJNA323691	NA	Belgium	Beer	NA	Beer	No	NA	4	"-1@3,7,8,13,14,15,16;-2@12;+1@1"	"-1@3,8,15;+1@1"	Yes	Both	Yes	No	Yes	No	BE017	92	Mosaic	Mosaic	TBD	0.003023016	Gallone_et_al_2016
BE018	NA	PRJNA323691	NA	Canada	Beer	NA	Beer	No	NA	Unknown	No	No	No	No	No	No	Yes	No	BE018	100	Mosaic	Mosaic	TBD	9.18E-05	Gallone_et_al_2016
BE019	NA	PRJNA323691	NA	Canada	Beer	NA	Beer	No	NA	3	"+1@11,12,13,14,16;+3@4"	"-1@1;+1@11,12,13,14,16"	Yes	Both	Yes	No	Yes	No	BE019	96	Mosaic	Mosaic	TBD	0.003519717	Gallone_et_al_2016
BE020	NA	PRJNA323691	NA	Belgium	Beer	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE020	97	Wine	Wine	TBD	0.000633248	Gallone_et_al_2016
BE021	NA	PRJNA323691	NA	Canada	Beer_(Pale_ale)	NA	Beer	No	NA	2	No	No	No	No	No	No	Yes	No	BE021	83	Beer2	Beer2	TBD	0.002371283	Gallone_et_al_2016
BE022	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	4	+1@8	+1@8	Yes	Gain	Yes	No	Yes	No	BE022	100	Belgium/Germany	Belgium/Germany	TBD	0.00370085	Gallone_et_al_2016
BE023	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	4	"+1@1,16"	"+1@1,16"	Yes	Gain	Yes	No	Yes	No	BE023	89	Mixed	Mixed	TBD	0.005575489	Gallone_et_al_2016
BE024	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	2	No	No	No	No	No	No	No	No	BE024	97	Wine	Wine	TBD	0.00058309	Gallone_et_al_2016
BE025	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	4	No	No	No	No	No	No	No	No	BE025	114	Mixed	Mixed	TBD	0.005961482	Gallone_et_al_2016
BE026	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	4	+1@8	+1@8	Yes	Gain	Yes	No	Yes	No	BE026	117	Belgium/Germany	Belgium/Germany	TBD	0.003744699	Gallone_et_al_2016
BE027	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	2	No	No	No	No	No	No	Yes	No	BE027	72	Beer2	Beer2	TBD	0.002296091	Gallone_et_al_2016
BE028	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	4	No	No	No	No	No	No	Yes	No	BE028	108	Mixed	Mixed	TBD	0.005747183	Gallone_et_al_2016
BE029	NA	PRJNA323691	NA	Belgium	Beer_(Ale_refermentation)	NA	Beer	No	NA	4	No	No	No	No	No	No	Yes	No	BE029	80	Mixed	Mixed	TBD	0.005546051	Gallone_et_al_2016
BE030	NA	PRJNA323691	NA	Belgium	Beer_(Trappist)	NA	Beer	No	NA	2	+1@14	+1@14	Yes	Gain	Yes	No	No	No	BE030	160	Wine	Wine	TBD	0.000928731	Gallone_et_al_2016
